                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.7882,                 1.6999,                 1.0088,                0.25923,                      1,                0.27571,                0.13108,                 1.8702,                 2.4463,                 1.2994,                0.00035,                0.00035,                0.00035
                    127,                 1.7887,                 1.3592,                 1.0023,                0.25923,                      1,                0.27571,                0.13108,                 1.8702,                 2.4463,                 1.2994,              0.0003368,              0.0003368,              0.0003368
                    128,                 2.0207,                 1.9053,                 1.0835,                0.21116,                      1,                0.22962,                  0.111,                 1.8458,                 2.5665,                 1.3036,              0.0003236,              0.0003236,              0.0003236
                    129,                  1.807,                 1.6328,                 1.0427,                0.21116,                      1,                0.22962,                  0.111,                 1.8458,                 2.5665,                 1.3036,              0.0003104,              0.0003104,              0.0003104
                    130,                 1.8159,                 1.5966,                 1.0443,                0.22634,                      1,                0.24875,                0.12438,                 1.8565,                 2.2302,                  1.312,              0.0002972,              0.0002972,              0.0002972
                    131,                 1.7142,                 1.7081,                0.99433,                0.22634,                      1,                0.24875,                0.12438,                 1.8565,                 2.2302,                  1.312,               0.000284,               0.000284,               0.000284
                    132,                 1.7627,                 1.4322,                  0.979,                0.33728,                      1,                0.38861,                0.20735,                 1.8433,                 1.9798,                 1.3074,              0.0002708,              0.0002708,              0.0002708
                    133,                 1.5653,                 1.3018,                0.98254,                0.33728,                      1,                0.38861,                0.20735,                 1.8433,                 1.9798,                 1.3074,              0.0002576,              0.0002576,              0.0002576
                    134,                 1.7397,                 1.5963,                 1.0391,                0.72881,                      1,                0.92357,                0.49178,                 1.8152,                 1.6489,                 1.2967,              0.0002444,              0.0002444,              0.0002444
                    135,                 1.6329,                 1.3222,                 0.9973,                0.72881,                      1,                0.92357,                0.49178,                 1.8152,                 1.6489,                 1.2967,              0.0002312,              0.0002312,              0.0002312
                    136,                 1.9072,                 1.5535,                 1.2224,                0.95028,                      1,                  0.995,                0.55175,                 1.7906,                 1.5357,                 1.2821,               0.000218,               0.000218,               0.000218
                    137,                 1.6412,                  1.308,                 1.0505,                0.95028,                      1,                  0.995,                0.55175,                 1.7906,                 1.5357,                 1.2821,              0.0002048,              0.0002048,              0.0002048
                    138,                 1.5136,                 1.2591,                0.98737,                0.96985,                      1,                  0.995,                0.56823,                 1.7715,                 1.4863,                 1.2729,              0.0001916,              0.0001916,              0.0001916
                    139,                 1.4183,                 1.2451,                0.95585,                0.96985,                      1,                  0.995,                0.56823,                 1.7715,                 1.4863,                 1.2729,              0.0001784,              0.0001784,              0.0001784
                    140,                 1.6973,                 1.6994,                0.99399,                 0.9596,                      1,                  0.995,                0.57026,                 1.7579,                 1.6823,                   1.27,              0.0001652,              0.0001652,              0.0001652
                    141,                 1.7105,                 1.3006,                 1.0093,                 0.9596,                      1,                  0.995,                0.57026,                 1.7579,                 1.6823,                   1.27,               0.000152,               0.000152,               0.000152
                    142,                 1.5523,                 1.4415,                0.96929,                0.57916,                      1,                0.67975,                0.40133,                 1.7498,                 2.0359,                 1.2657,              0.0001388,              0.0001388,              0.0001388
                    143,                 1.5224,                 1.3971,                 1.0276,                0.57916,                      1,                0.67975,                0.40133,                 1.7498,                 2.0359,                 1.2657,              0.0001256,              0.0001256,              0.0001256
                    144,                 1.6663,                  1.403,                 1.0422,                0.58071,                      1,                  0.597,                 0.3599,                 1.7554,                 1.9858,                 1.2627,              0.0001124,              0.0001124,              0.0001124
                    145,                 1.5225,                 1.4123,                 1.0221,                0.58071,                      1,                  0.597,                 0.3599,                 1.7554,                 1.9858,                 1.2627,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                 1.6524,                 1.4639,                0.98038,                0.42772,                      1,                0.55116,                0.33153,                 1.7461,                 2.1765,                 1.2622,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                 1.7079,                 1.4983,                 1.0243,                0.42772,                      1,                0.55116,                0.33153,                 1.7461,                 2.1765,                 1.2622,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                 1.5919,                 1.4485,                0.94034,                0.57245,                      1,                  0.597,                0.37192,                  1.733,                 2.0024,                 1.2614,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 1.5355,                 1.2868,                  1.026,                0.57245,                      1,                  0.597,                0.37192,                  1.733,                 2.0024,                 1.2614,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                  1.565,                 1.3026,                 1.0199,                0.55527,                      1,                  0.597,                0.39229,                  1.725,                 1.9781,                 1.2593,               3.32e-05,               3.32e-05,               3.32e-05
