                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.8106,                 1.8939,                 1.1619,                0.72878,                      1,                 0.9125,                0.46588,                 2.1014,                 2.1215,                 1.5818,              0.0006668,              0.0006668,              0.0006668
                    103,                 1.8477,                 2.0437,                 1.0409,                0.72878,                      1,                 0.9125,                0.46588,                 2.1014,                 2.1215,                 1.5818,              0.0006536,              0.0006536,              0.0006536
                    104,                 2.1472,                 2.4927,                 1.0934,                 0.8519,                0.96327,                0.97214,                0.46627,                 1.8451,                 2.1766,                 1.5724,              0.0006404,              0.0006404,              0.0006404
                    105,                 2.4421,                 2.0508,                 1.1738,                 0.8519,                0.96327,                0.97214,                0.46627,                 1.8451,                 2.1766,                 1.5724,              0.0006272,              0.0006272,              0.0006272
                    106,                 2.1736,                 2.2348,                 1.1872,                0.84382,                0.90672,                0.97214,                0.54308,                 1.7277,                  2.057,                  1.528,               0.000614,               0.000614,               0.000614
                    107,                 1.9795,                  1.837,                 1.0294,                0.84382,                0.90672,                0.97214,                0.54308,                 1.7277,                  2.057,                  1.528,              0.0006008,              0.0006008,              0.0006008
                    108,                 2.0249,                 2.2384,                 1.0757,                 0.8415,                      1,                  0.995,                0.61353,                 1.7537,                  1.997,                 1.4451,              0.0005876,              0.0005876,              0.0005876
                    109,                 1.7514,                 2.1556,                 1.0367,                 0.8415,                      1,                  0.995,                0.61353,                 1.7537,                  1.997,                 1.4451,              0.0005744,              0.0005744,              0.0005744
                    110,                  1.971,                 2.4215,                 1.0633,                0.92153,                      1,                  0.995,                 0.6246,                 1.7871,                   1.99,                  1.387,              0.0005612,              0.0005612,              0.0005612
                    111,                 1.9926,                 2.1531,                 1.1364,                0.92153,                      1,                  0.995,                 0.6246,                 1.7871,                   1.99,                  1.387,               0.000548,               0.000548,               0.000548
                    112,                 1.7991,                 1.8531,                0.92809,                 0.9995,                      1,                  0.995,                 0.6423,                 1.6828,                 1.9773,                  1.355,              0.0005348,              0.0005348,              0.0005348
                    113,                  1.946,                 1.8912,                 1.0822,                 0.9995,                      1,                  0.995,                 0.6423,                 1.6828,                 1.9773,                  1.355,              0.0005216,              0.0005216,              0.0005216
                    114,                 1.8722,                 1.8987,                 1.0914,                      1,                0.99174,                  0.995,                0.69374,                 1.5865,                  2.068,                 1.3017,              0.0005084,              0.0005084,              0.0005084
                    115,                 1.9568,                 2.2224,                 1.2087,                      1,                0.99174,                  0.995,                0.69374,                 1.5865,                  2.068,                 1.3017,              0.0004952,              0.0004952,              0.0004952
                    116,                  1.869,                 2.0538,                 1.0618,                      1,                0.94314,                  0.995,                0.68364,                 1.5758,                 1.8204,                 1.3223,               0.000482,               0.000482,               0.000482
                    117,                 1.9383,                  2.134,                 1.0288,                      1,                0.94314,                  0.995,                0.68364,                 1.5758,                 1.8204,                 1.3223,              0.0004688,              0.0004688,              0.0004688
                    118,                 1.8223,                  2.036,                0.97015,                0.99161,                      1,                  0.995,                0.65889,                 1.6179,                 1.7314,                 1.3454,              0.0004556,              0.0004556,              0.0004556
                    119,                 1.9295,                 1.9317,                 1.0423,                0.99161,                      1,                  0.995,                0.65889,                 1.6179,                 1.7314,                 1.3454,              0.0004424,              0.0004424,              0.0004424
                    120,                 1.9466,                 2.1317,                  1.037,                0.99194,                      1,                  0.995,                0.63427,                 1.6483,                 1.7998,                 1.3429,              0.0004292,              0.0004292,              0.0004292
                    121,                 1.8555,                 2.1438,                 1.0549,                0.99194,                      1,                  0.995,                0.63427,                 1.6483,                 1.7998,                 1.3429,               0.000416,               0.000416,               0.000416
                    122,                 1.8045,                 1.9678,                 1.0095,                 0.8375,                      1,                0.94786,                0.63526,                 1.5701,                 1.9529,                 1.3016,              0.0004028,              0.0004028,              0.0004028
                    123,                 1.8521,                 1.9932,                 1.0559,                 0.8375,                      1,                0.94786,                0.63526,                 1.5701,                 1.9529,                 1.3016,              0.0003896,              0.0003896,              0.0003896
                    124,                   1.93,                  2.253,                0.98538,                      1,                0.81399,                  0.995,                 0.6455,                 1.5303,                 2.0703,                 1.2646,              0.0003764,              0.0003764,              0.0003764
                    125,                 1.8784,                 2.1768,                0.99751,                      1,                0.81399,                  0.995,                 0.6455,                 1.5303,                 2.0703,                 1.2646,              0.0003632,              0.0003632,              0.0003632
